"Subject","ID","Context","Stimulus","Truth Value","RT","Category","Correct","Check","PrsntOrd","Column1",,,
100,1,"Dans cet hôtel, les clients ne sont pas contents du service :","personne n'aime rien ici.","V",14.71,"Critical1 NC","F","1",39,"4NC Mismatch",,,
100,2,"Dans notre famille on est tous allergique à l'alcool : ","personne ne boit rien dans les soirées.","V",7.322,"Critical1 NC","V","",34,"1NC",,,
100,3,"Tous les profs s'ennuient en conseil de classe : ","personne ne dit rien pendant les réunions.","V",6.682,"Critical1 NC","V","",30,"1NC",,,
100,4,"Il fait vraiment trop chaud aujourd'hui :  ","personne ne fait rien dehors. ","V",22.08,"Critical1 NC","V","",20,"1NC",,,
100,5,"Les profs se plaignent tous que les élèves n'étudient pas pendant les vacances : ","personne ne lit rien en été.","F",5.017,"Critical1 NC","F","",21,"1NC",,,
100,6,"Depuis toujours, cette cantine est absolument infecte : ","personne ne mange rien ici.","V",8.404,"Critical1 NC","V","",4,"1NC",,,
100,7,"Dans ce pays, la monnaie n'a plus aucune valeur : ","personne ne met rien à la banque.","F",9.105,"Critical1 NC","F","",7,"1NC",,,
100,8,"On vient de couper l'électricité et il fait tout noir ici : ","personne ne voit rien dans la pièce.","F",35.24,"Critical1 NC","F","",15,"1NC",,,
100,9,"Dans ce restaurant on trouve toujours quelque chose de bon : ","personne n'aime rien dans les plats proposés.","V",6.81,"Critical2 DN","V","",9,"3DN",,,
100,10,"Chez les jeunes, la consommation d'alcool est effrayante :  ","personne ne boit rien dans les soirées.","F",6.842,"Critical2 DN","F","",17,"3DN",,,
100,11,"Chez nous, les profs veulent tous donner leur avis : ","personne ne dit rien pendant les réunions.","V",20.25,"Critical2 DN","V","",23,"3DN",,,
100,12,"A l'approche des dates butoir, tout le monde travaille dur pour finir à temps :","personne ne fait rien ces jours-là.","F",7.457,"Critical2 DN","F","",35,"3DN",,,
100,13,"Dans cette école exceptionnelle, absolument tous les élèves font leurs devoirs : ","personne ne lit rien pour leurs classes.","V",9.457,"Critical2 DN","V","",12,"3DN",,,
100,14,"Même quand on fait un régime, il faut se nourrir : ","personne ne mange rien pendant un mois.","F",9.01,"Critical2 DN","F","",28,"3DN",,,
100,15,"La plupart des gens amassent un tas de bricoles inutiles :","personne ne met rien dans ses placards.","F",4.483,"Critical2 DN","F","",37,"3DN",,,
100,16,"Les études cognitives nous montrent que même les aveugles ont une vision inconsciente : ","personne ne voit rien du tout.","V",14.96,"Critical2 DN","V","",1,"3DN",,,
100,17,"La rupture avec son copain l'a complètement déprimée : ","Noëlle n'aime rien en ce moment.","V",4.291,"Critical3 NegOb","V","",33,"",,,
100,18,"Quand on sort, il faut un chauffeur sobre : ","Raoul ne boit rien aujourd'hui.","V",6.194,"Critical3 NegOb","V","",8,"",,,
100,19,"Parce qu'elle est très timide, ","Aline ne dit rien pendant les cours.","F",4.156,"Critical3 NegOb","F","",36,"",,,
100,20,"Comme elle est très religieuse, ","Marla ne fait rien le dimanche.","F",4.139,"Critical3 NegOb","F","",19,"",,,
100,21,"Comme elle travaille comme relectrice toute la semaine, ","Marie ne lit rien le week-end.","F",3.723,"Critical3 NegOb","F","",27,"",,,
100,22,"Pour bien digerer, ","les gens ne mangent rien le soir.","V",5.931,"Critical3 NegOb","V","",3,"",,,
100,23,"Comme il est très dépensier, ","Julien ne met rien dans de coté pour l'avenir.","V",23.38,"Critical3 NegOb","V","",24,"",,,
100,24,"Elle est très intelligente mais elle a la tête dans les nuages : ","Lucie ne voit rien autour d'elle.","F",7.779,"Critical3 NegOb","F","",11,"",,,
100,25,"Quand on s'amuse, on a pas toujours envie de rester sobre : ","personne n'aime l'eau dans les fêtes.","V",10.96,"Critical4 NegSub","V","",32,"",,,
100,26,"Dans ce bar, il y a de l'ambiance et on consomme beaucoup d'alcool : ","personne ne boit d'eau ici.","F",8.716,"Critical4 NegSub","F","",10,"",,,
